feature,importance,cumulative,rank
capital_gain,0.16088734939227792,0.16088734939227792,1
marital_status,0.1361852830053744,0.29707263239765236,2
age,0.12763319972544596,0.4247058321230983,3
education_num,0.12534750352420165,0.5500533356473,4
fnlwgt,0.08772898148699376,0.6377823171342938,5
relationship,0.08578687585742353,0.7235691929917173,6
hours_per_week,0.06827589248590668,0.791845085477624,7
occupation,0.060300577490836345,0.8521456629684604,8
capital_loss,0.044526560821401634,0.896672223789862,9
education,0.029259504782180902,0.9259317285720429,10
workclass,0.028361163969706286,0.9542928925417492,11
sex,0.025163273828328905,0.9794561663700782,12
native_country,0.011248697867676323,0.9907048642377545,13
race,0.009295135762245728,1.0000000000000002,14
