feature,importance,cumulative,rank
cp,0.18606496048337817,0.18606496048337817,1
thal,0.14984011518043236,0.33590507566381056,2
ca,0.12675138142375425,0.4626564570875648,3
oldpeak,0.12615571763380537,0.5888121747213702,4
thalach,0.09253667103109603,0.6813488457524661,5
slope,0.0626498699837976,0.7439987157362637,6
age,0.060180904806140745,0.8041796205424045,7
trestbps,0.05009633579402727,0.8542759563364318,8
chol,0.04841846660706531,0.9026944229434971,9
exang,0.04663930992193273,0.9493337328654299,10
sex,0.031249640057341363,0.9805833729227712,11
restecg,0.014635239361754109,0.9952186122845254,12
fbs,0.004781387715474773,1.0000000000000002,13
