feature,importance,cumulative,rank
alcohol,0.19637862157188826,0.19637862157188826,1
sulphates,0.14276649942742994,0.3391451209993182,2
volatile acidity,0.11531077083856958,0.4544558918378878,3
total sulfur dioxide,0.09685511156399995,0.5513110034018878,4
density,0.08774740514519419,0.639058408547082,5
chlorides,0.07212618683227566,0.7111845953793576,6
fixed acidity,0.06786684244297128,0.7790514378223289,7
citric acid,0.06139193185640253,0.8404433696787315,8
pH,0.057508238945291404,0.8979516086240229,9
free sulfur dioxide,0.05199343424896237,0.9499450428729853,10
residual sugar,0.05005495712701484,1.0000000000000002,11
